GeoAreaName,TimePeriod,Value,GeoAreaCode
British Virgin Islands,2011,30.35111,92
British Virgin Islands,2012,30.32917,92
British Virgin Islands,2013,30.76,92
British Virgin Islands,2014,30.86,92
British Virgin Islands,2015,30.81,92
British Virgin Islands,2016,37,92
British Virgin Islands,2017,32.405,92
British Virgin Islands,2018,33.2025,92
Brunei Darussalam,2010,0.81,96
Brunei Darussalam,2011,0.65,96
Brunei Darussalam,2012,0.62,96
Brunei Darussalam,2013,0.66,96
Brunei Darussalam,2014,0.65,96
Brunei Darussalam,2015,0.78,96
Brunei Darussalam,2016,0.83,96
Belarus,2014,1.78462,112
Belarus,2016,2.23041,112
Belarus,2018,2.49756,112
Belarus,2020,1.42037,112
Belarus,2022,1.89548,112
Cameroon,2012,3.3,120
Cameroon,2013,3.4,120
Cameroon,2014,3.2,120
Cameroon,2015,3.7,120
Cameroon,2016,4,120
Cameroon,2017,4.1,120
Cameroon,2018,5.06,120
Cameroon,2019,5.09,120
Cameroon,2020,4.65,120
Cameroon,2021,4.82,120
Canada,2008,1.81821,124
Canada,2009,1.82919,124
Canada,2010,1.83329,124
Canada,2011,1.81814,124
Canada,2012,1.83679,124
Canada,2013,1.80198,124
Canada,2014,1.79943,124
Canada,2015,1.93487,124
Canada,2016,1.99315,124
Canada,2017,1.99379,124
Canada,2018,2.00237,124
Canada,2019,2.01469,124
Canada,2020,1.00336,124
Canada,2021,0.98237,124
Canada,2022,1.41368,124
Canada,2023,1.577,124
Sri Lanka,2018,3.33926,144
Chile,2008,3.24928,152
Chile,2009,3.319,152
Chile,2010,3.2462,152
Chile,2011,3.15664,152
Chile,2012,3.45471,152
Chile,2013,3.13638,152
Chile,2014,3.10483,152
Chile,2015,3.39815,152
Chile,2016,3.64229,152
Chile,2017,3.54035,152
Chile,2018,3.29595,152
Chile,2019,3.31392,152
Colombia,2008,2.57107,170
Colombia,2009,2.48384,170
Colombia,2010,2.41378,170
Colombia,2011,2.21365,170
Colombia,2012,2.13009,170
Colombia,2013,2.08821,170
Colombia,2014,2.0616,170
Colombia,2015,1.90385,170
Colombia,2016,2.05987,170
Colombia,2017,2.07005,170
Colombia,2018,2.55753,170
Colombia,2019,2.63815,170
Colombia,2020,1.24652,170
Colombia,2021,1.68666,170
Colombia,2022,2.23272,170
Colombia,2023,2.34605,170
Costa Rica,2012,4.41076,188
Costa Rica,2013,4.68706,188
Costa Rica,2014,4.61756,188
Costa Rica,2015,4.7099,188
Costa Rica,2016,4.99396,188
Costa Rica,2017,4.80883,188
Costa Rica,2018,4.65418,188
Costa Rica,2019,4.81809,188
Costa Rica,2020,1.86899,188
Costa Rica,2021,2.71972,188
Croatia,2011,10.3,191
Croatia,2016,11.39607,191
Croatia,2019,11.82341,191
Czechia,2008,2.80155,203
Czechia,2009,2.87347,203
Czechia,2010,2.65298,203
Czechia,2011,2.65992,203
Czechia,2012,2.74939,203
Czechia,2013,2.88297,203
Czechia,2014,2.76361,203
Czechia,2015,2.77236,203
Czechia,2016,2.90684,203
Czechia,2017,2.94173,203
Czechia,2018,2.87942,203
Czechia,2019,2.87382,203
Czechia,2020,1.50132,203
Czechia,2021,1.55283,203
Czechia,2022,2.21996,203
Denmark,2008,1.68281,208
Denmark,2010,1.97473,208
Denmark,2011,1.45256,208
Denmark,2012,1.47303,208
Denmark,2013,1.68546,208
Denmark,2014,1.88571,208
Denmark,2015,1.87378,208
Denmark,2016,1.93069,208
Denmark,2017,2.3387,208
Denmark,2018,2.25813,208
Denmark,2019,2.33104,208
Denmark,2020,1.44157,208
Denmark,2021,1.52862,208
Denmark,2022,1.82626,208
Ecuador,2008,1.82,218
Ecuador,2009,1.66,218
Ecuador,2010,1.72,218
Ecuador,2011,1.86,218
Ecuador,2012,1.9,218
Ecuador,2013,1.89,218
Ecuador,2014,1.96,218
Ecuador,2015,1.9,218
Ecuador,2016,1.87,218
Ecuador,2017,2.07,218
Ecuador,2018,2.31,218
Ecuador,2019,2.28,218
El Salvador,2014,2.95787,222
El Salvador,2015,3.04613,222
El Salvador,2016,3.23593,222
El Salvador,2017,3.49848,222
El Salvador,2018,3.51677,222
Equatorial Guinea,2008,2.06047,226
Equatorial Guinea,2009,3.3102,226
Equatorial Guinea,2010,3.02377,226
Equatorial Guinea,2011,3.42152,226
Equatorial Guinea,2012,3.33852,226
Equatorial Guinea,2013,4.0366,226
Equatorial Guinea,2014,4.20741,226
Equatorial Guinea,2015,5.55118,226
Equatorial Guinea,2016,6.57985,226
Equatorial Guinea,2017,5.90738,226
Equatorial Guinea,2018,5.76993,226
Equatorial Guinea,2019,6.63587,226
Equatorial Guinea,2020,7.28841,226
Ethiopia,2019,2.60604,231
Estonia,2008,4.20903,233
Estonia,2009,4.6858,233
Estonia,2010,4.54803,233
Estonia,2011,4.39623,233
Estonia,2012,4.34115,233
Estonia,2013,4.78008,233
Estonia,2014,5.46358,233
Estonia,2015,5.48218,233
Estonia,2016,5.4584,233
Estonia,2017,5.4,233
Fiji,2008,13,242
Fiji,2011,11.5,242
Fiji,2012,11.5,242
Fiji,2013,12.1,242
Fiji,2014,13.3,242
Fiji,2015,13.7,242
Fiji,2016,12.6,242
Fiji,2017,13.5,242
Fiji,2018,12.6,242
Fiji,2019,11.8,242
Fiji,2020,0.1,242
Fiji,2021,-0.1,242
Fiji,2022,9.9,242
Finland,2011,2.43096,246
Finland,2012,2.51347,246
Finland,2013,2.46268,246
Finland,2014,2.44454,246
Finland,2015,2.45168,246
Finland,2016,2.45966,246
Finland,2017,2.67135,246
Finland,2018,2.69921,246
Finland,2019,2.72993,246
Finland,2020,1.42479,246
Finland,2021,1.50954,246
Finland,2022,1.76731,246
France,2019,3.90442,250
France,2020,2.83936,250
France,2021,3.02301,250
France,2022,3.5561,250
French Polynesia,2018,7.3,258
French Polynesia,2019,7.3,258
French Polynesia,2022,8,258
State of Palestine,2009,2.18179,275
State of Palestine,2010,2.54769,275
State of Palestine,2011,1.9277,275
State of Palestine,2012,2.67194,275
State of Palestine,2013,2.06816,275
State of Palestine,2014,2.59985,275
State of Palestine,2015,1.72538,275
State of Palestine,2016,2.2035,275
State of Palestine,2017,2.55702,275
State of Palestine,2018,2.50622,275
State of Palestine,2019,2.92609,275
State of Palestine,2020,0.66226,275
Germany,2010,4.20699,276
Germany,2015,4.05767,276
Germany,2016,3.99537,276
Germany,2017,3.9861,276
Germany,2018,3.97426,276
Germany,2019,3.85284,276
Germany,2020,2.35015,276
Germany,2021,2.16005,276
Kiribati,2008,0.57,296
Kiribati,2009,0.61,296
Kiribati,2010,0.52,296
Kiribati,2011,0.58,296
Kiribati,2012,0.51,296
Kiribati,2013,0.53,296
Kiribati,2014,0.5,296
Kiribati,2015,0.51,296
Kiribati,2016,0.6,296
Kiribati,2017,0.76,296
Kiribati,2018,0.69,296
Kiribati,2019,0.72,296
Greece,2008,5.38938,300
Greece,2009,4.97559,300
Greece,2010,5.14477,300
Greece,2011,4.94311,300
Greece,2012,5.15725,300
Greece,2013,6.58306,300
Greece,2014,6.5154,300
Greece,2015,6.5367,300
Greece,2016,6.22253,300
Greece,2017,6.68551,300
Greece,2018,6.9626,300
Greece,2019,7.23507,300
Greece,2020,4.32655,300
Greece,2021,5.24736,300
Greece,2022,6.38193,300
Greece,2023,7.14452,300
Guam,2010,12,316
Guam,2015,11.2,316
Guam,2016,12.1,316
Guam,2019,22,316
Guam,2020,10.7,316
Guam,2021,6.3,316
Guinea,2011,1.67929,324
Guinea,2012,1.64244,324
Guinea,2013,1.42904,324
Guinea,2014,1.24268,324
Guinea,2015,1.06877,324
Guinea,2016,1.00476,324
Guinea,2017,0.9236,324
Guyana,2008,1.8,328
Guyana,2009,3.6,328
Guyana,2010,4.1,328
Guyana,2011,5.2,328
Guyana,2012,5.3,328
Guyana,2013,3.7,328
Guyana,2014,1.7,328
Guyana,2015,0.7,328
Guyana,2016,3.8,328
Guyana,2017,3.7,328
Guyana,2018,4.4,328
Guyana,2019,5.4,328
Guyana,2020,43.5,328
Guyana,2021,20,328
Guyana,2022,63.4,328
Guyana,2023,33,328
Honduras,2008,6.01026,340
Honduras,2009,6.15837,340
Honduras,2010,6.11338,340
Honduras,2011,6.1221,340
Honduras,2012,6.41284,340
Honduras,2013,6.52312,340
"China, Hong Kong Special Administrative Region",2008,2.75619,344
"China, Hong Kong Special Administrative Region",2009,3.22415,344
"China, Hong Kong Special Administrative Region",2010,4.29704,344
"China, Hong Kong Special Administrative Region",2011,4.53393,344
"China, Hong Kong Special Administrative Region",2012,4.69859,344
"China, Hong Kong Special Administrative Region",2013,5.04638,344
"China, Hong Kong Special Administrative Region",2014,5.09956,344
"China, Hong Kong Special Administrative Region",2015,5.004,344
"China, Hong Kong Special Administrative Region",2016,4.65011,344
"China, Hong Kong Special Administrative Region",2017,4.47827,344
"China, Hong Kong Special Administrative Region",2018,4.46233,344
"China, Hong Kong Special Administrative Region",2019,3.59847,344
"China, Hong Kong Special Administrative Region",2020,0.35806,344
"China, Hong Kong Special Administrative Region",2021,0.08267,344
"China, Hong Kong Special Administrative Region",2022,0.40542,344
Hungary,2008,2.39971,348
Hungary,2009,2.37601,348
Hungary,2010,2.44332,348
Hungary,2011,2.45379,348
Hungary,2012,2.56138,348
Hungary,2013,2.5767,348
Hungary,2014,2.81388,348
Hungary,2015,2.72914,348
Hungary,2016,2.75277,348
Hungary,2017,2.68701,348
Hungary,2018,3.04249,348
Hungary,2019,3.37803,348
Hungary,2020,1.52213,348
Hungary,2021,1.6435,348
Iceland,2009,3.51117,352
Iceland,2010,3.42677,352
Iceland,2011,3.68263,352
Iceland,2012,4.16666,352
Iceland,2013,4.67865,352
Iceland,2014,5.47964,352
Iceland,2015,6.5,352
Iceland,2016,8.1984,352
Iceland,2017,7.9837,352
Iceland,2018,8.08922,352
Iceland,2019,8.1,352
Iceland,2020,2.8,352
Iceland,2021,3.9,352
Iceland,2022,6.1,352
India,2009,3.68213,356
India,2010,3.67259,356
India,2011,3.04754,356
India,2012,3.10496,356
India,2013,3.06495,356
India,2014,3.13708,356
India,2015,2.64705,356
India,2016,2.62134,356
India,2017,2.61394,356
India,2018,2.60518,356
India,2019,2.69189,356
India,2020,0.77549,356
India,2021,0.90541,356
India,2022,2.5962,356
Indonesia,2008,4.7,360
Indonesia,2009,4.17,360
Indonesia,2010,4.06,360
Indonesia,2011,4,360
Indonesia,2012,3.96,360
Indonesia,2013,4.02,360
Indonesia,2014,4.13,360
Indonesia,2015,4.31,360
Indonesia,2016,4.65054,360
Indonesia,2017,4.67497,360
Indonesia,2018,4.91219,360
Indonesia,2019,4.96633,360
Indonesia,2020,2.2414,360
Ireland,2019,4.76468,372
Israel,2008,2.6838,376
Israel,2009,2.52894,376
Israel,2010,2.76008,376
Israel,2011,2.69689,376
Israel,2012,2.74042,376
Israel,2013,2.61832,376
Israel,2014,2.52843,376
Israel,2015,2.59238,376
Israel,2016,2.5233,376
Israel,2017,2.55346,376
Israel,2018,2.64084,376
Israel,2019,2.58317,376
Israel,2020,0.7,376
Israel,2021,1.06784,376
Israel,2022,1.86797,376
Israel,2023,1.87597,376
Italy,2010,5.14858,380
Italy,2015,5.41026,380
Italy,2017,5.49858,380
Italy,2019,5.7128,380
Côte d'Ivoire,2012,2.4,384
Côte d'Ivoire,2013,3.6,384
Côte d'Ivoire,2014,4.8,384
Côte d'Ivoire,2015,5.16,384
Côte d'Ivoire,2016,5.52,384
Côte d'Ivoire,2017,5.89,384
Côte d'Ivoire,2018,6.25,384
Côte d'Ivoire,2019,7.3,384
Côte d'Ivoire,2020,1.5,384
Jamaica,2008,7.05903,388
Jamaica,2009,7.2,388
Jamaica,2010,6.9,388
Jamaica,2011,6.5,388
Jamaica,2012,6.4,388
Jamaica,2013,6.9,388
Jamaica,2014,7.5,388
Jamaica,2015,7.8,388
Jamaica,2016,8.4,388
Jamaica,2017,9,388
Jamaica,2018,9.2,388
Jamaica,2019,9.8,388
Japan,2008,1.9,392
Japan,2009,1.8,392
Japan,2010,1.7,392
Japan,2011,1.7,392
Japan,2012,1.7,392
Japan,2013,1.8,392
Japan,2014,1.7,392
Japan,2015,1.8,392
Japan,2016,2,392
Japan,2017,2,392
Japan,2018,1.9,392
Japan,2019,2,392
Japan,2020,0.8,392
Japan,2021,0.6,392
Japan,2022,1.2,392
Kazakhstan,2008,1.5,398
Kazakhstan,2009,1.4,398
Kazakhstan,2010,1.3,398
Kazakhstan,2011,1.4,398
Kazakhstan,2012,1.5,398
Kazakhstan,2013,1,398
Kazakhstan,2014,0.9,398
Kazakhstan,2015,1,398
Kazakhstan,2016,1.3,398
Kazakhstan,2017,1.3,398
Kazakhstan,2018,1.4,398
Kazakhstan,2019,1.3,398
Kazakhstan,2020,0.6,398
Kazakhstan,2021,0.7,398
Kazakhstan,2022,1,398
Jordan,2008,6.52815,400
Jordan,2010,7,400
Jordan,2012,6.5,400
Jordan,2016,6,400
Jordan,2018,5.9,400
Kenya,2019,4.4,404
Republic of Korea,2019,2.5,410
Kuwait,2010,0.72516,414
Kuwait,2011,0.7041,414
Kuwait,2012,0.67374,414
Kuwait,2013,0.72353,414
Kuwait,2014,0.75628,414
Kuwait,2015,0.75995,414
Kuwait,2016,0.71703,414
Kuwait,2017,0.67344,414
Kuwait,2018,0.65095,414
Kuwait,2019,0.63484,414
Kuwait,2020,0.52313,414
Kuwait,2021,0.39951,414
Kuwait,2022,0.46999,414
Kuwait,2023,0.59416,414
Kyrgyzstan,2008,4.2,417
Kyrgyzstan,2009,4,417
Kyrgyzstan,2010,3.7,417
Kyrgyzstan,2011,4.5,417
Kyrgyzstan,2012,4.6,417
Kyrgyzstan,2013,4.6,417
Kyrgyzstan,2014,4.3,417
Kyrgyzstan,2015,4.7,417
Kyrgyzstan,2016,4.6,417
Kyrgyzstan,2017,5,417
Kyrgyzstan,2018,5,417
Kyrgyzstan,2019,4.4,417
Kyrgyzstan,2020,2.9,417
Kyrgyzstan,2021,3.2,417
Kyrgyzstan,2022,3.6,417
Lebanon,2008,2.2,422
Lebanon,2009,2.9,422
Lebanon,2010,2.9,422
Lebanon,2011,2.8,422
Lebanon,2012,2.6,422
Lebanon,2013,2.6,422
Lebanon,2014,2.8,422
Lebanon,2015,3,422
Lebanon,2016,3,422
Lebanon,2017,3.1,422
Lebanon,2018,3,422
Lebanon,2019,3,422
Lebanon,2020,2,422
Lebanon,2023,9.1,422
Latvia,2008,4.2,428
Latvia,2009,3.1,428
Latvia,2010,3.1,428
Latvia,2011,3.4,428
Latvia,2012,4.4,428
Latvia,2013,4.2,428
Latvia,2014,4.3,428
Latvia,2015,4.2,428
Latvia,2016,4.5,428
Latvia,2017,4.6,428
Latvia,2018,4.9,428
Latvia,2019,4.8,428
Latvia,2020,3.5,428
Latvia,2021,2.6,428
Lithuania,2009,2.84,440
Lithuania,2010,2.76,440
Lithuania,2011,2.74,440
Lithuania,2012,2.88,440
Lithuania,2013,2.98,440
Lithuania,2014,3.07,440
Lithuania,2015,3.06,440
Lithuania,2016,3.07,440
Lithuania,2017,3.02,440
Lithuania,2018,2.9,440
Lithuania,2019,2.89,440
Lithuania,2020,1.65,440
Lithuania,2021,1.77,440
Lithuania,2022,2.17,440
Lithuania,2023,2.74,440
Luxembourg,2014,1.22728,442
Luxembourg,2015,1.16862,442
Luxembourg,2016,1.223,442
Luxembourg,2017,1.24989,442
Luxembourg,2018,1.25069,442
Luxembourg,2019,1.24847,442
Luxembourg,2020,0.75275,442
Luxembourg,2021,0.73459,442
Luxembourg,2022,0.79521,442
"China, Macao Special Administrative Region",2010,54.97003,446
"China, Macao Special Administrative Region",2011,58.82189,446
"China, Macao Special Administrative Region",2012,58.78054,446
"China, Macao Special Administrative Region",2013,59.65649,446
"China, Macao Special Administrative Region",2014,56.2537,446
"China, Macao Special Administrative Region",2015,47.8616,446
"China, Macao Special Administrative Region",2016,46.97152,446
"China, Macao Special Administrative Region",2017,49.98982,446
"China, Macao Special Administrative Region",2018,52.27629,446
"China, Macao Special Administrative Region",2019,52.58599,446
"China, Macao Special Administrative Region",2020,21.49786,446
"China, Macao Special Administrative Region",2021,28.00115,446
"China, Macao Special Administrative Region",2022,16.64292,446
Malawi,2013,4.5,454
Malawi,2014,3.5,454
Malawi,2015,3.4,454
Malawi,2016,3.4,454
Malawi,2017,3.5,454
Malawi,2018,3.4,454
Malawi,2019,2.7,454
Malawi,2020,1.6,454
Malaysia,2008,4.8609,458
Malaysia,2009,5.41632,458
Malaysia,2010,5.56932,458
Malaysia,2011,5.59573,458
Malaysia,2012,5.64891,458
Malaysia,2013,5.9618,458
Malaysia,2014,6.27953,458
Malaysia,2015,6.36879,458
Malaysia,2016,6.56906,458
Malaysia,2017,6.4049,458
Malaysia,2018,6.53253,458
Malaysia,2019,6.76074,458
Malaysia,2020,1.99866,458
Malaysia,2021,0.7529,458
Malaysia,2022,2.67476,458
Malaysia,2023,4.45398,458
Malta,2010,5.9,470
Martinique,2008,4.66594,474
Martinique,2009,4.86705,474
Martinique,2010,5.20199,474
Martinique,2011,5.22271,474
Martinique,2012,5.1136,474
Martinique,2013,5.18047,474
Martinique,2014,4.7,474
Martinique,2015,5,474
Martinique,2016,5.2,474
Martinique,2017,5.64481,474
Martinique,2018,5.3,474
Martinique,2019,5.4,474
Mauritius,2010,9.6,480
Mauritius,2011,10,480
Mauritius,2012,9.9,480
Mauritius,2013,9,480
Mauritius,2014,9.1,480
Mauritius,2015,9.2,480
Mauritius,2016,9.2,480
Mauritius,2017,9.1,480
Mauritius,2018,9.3,480
Mauritius,2019,9.2,480
Mauritius,2020,2.7,480
Mauritius,2021,2.3,480
Mauritius,2022,8.6,480
Mexico,2008,8.87931,484
Mexico,2009,9.15453,484
Mexico,2010,8.86699,484
Mexico,2011,8.60889,484
Mexico,2012,8.64592,484
Mexico,2013,8.99466,484
Mexico,2014,8.91677,484
Mexico,2015,8.83817,484
Mexico,2016,8.4518,484
Mexico,2017,8.48726,484
Mexico,2018,8.53957,484
Mexico,2019,8.61168,484
Mexico,2020,6.76612,484
Mexico,2021,7.62444,484
Mexico,2022,8.4629,484
Mongolia,2015,0.17729,496
Mongolia,2016,0.20944,496
Mongolia,2017,0.20183,496
Mongolia,2018,0.15283,496
Mongolia,2019,0.15863,496
Mongolia,2020,0.0424,496
Republic of Moldova,2014,0.47593,498
Republic of Moldova,2015,0.50265,498
Republic of Moldova,2016,0.44885,498
Republic of Moldova,2017,0.50052,498
Republic of Moldova,2018,0.56154,498
Republic of Moldova,2019,0.67554,498
Republic of Moldova,2020,0.1796,498
Republic of Moldova,2021,0.58281,498
Republic of Moldova,2022,0.7411,498
Republic of Moldova,2023,0.51553,498
Montenegro,2009,10,499
Montserrat,2008,2.34,500
Montserrat,2009,1.98,500
Montserrat,2010,2.13,500
Montserrat,2011,1.8,500
Montserrat,2012,2.04,500
Montserrat,2013,2.01,500
Montserrat,2014,2.2,500
Montserrat,2015,2.27,500
Montserrat,2016,1.75,500
Montserrat,2017,2.3,500
Montserrat,2018,2.24,500
Montserrat,2019,1.76,500
Montserrat,2020,0.87,500
Montserrat,2021,0.5,500
Morocco,2009,6.92133,504
Morocco,2010,7.12698,504
Morocco,2011,6.91691,504
Morocco,2012,6.72653,504
Morocco,2013,6.58754,504
Morocco,2014,6.69036,504
Morocco,2015,6.44365,504
Morocco,2016,6.59831,504
Morocco,2017,6.81006,504
Morocco,2018,6.93356,504
Morocco,2019,7.06346,504
Mozambique,2008,6.45,508
Mozambique,2010,6.48,508
Mozambique,2015,4.1,508
Mozambique,2017,3.9,508
Mozambique,2018,4.18,508
Mozambique,2019,4.18,508
Mozambique,2020,2.43,508
Mozambique,2021,2.46,508
Mozambique,2022,4,508
Mozambique,2023,4.02,508
Oman,2008,2.34607,512
Oman,2009,2.64871,512
Oman,2010,2.41562,512
Oman,2011,2.11529,512
Oman,2012,2.16009,512
Oman,2013,2.25063,512
Oman,2014,2.26724,512
Oman,2015,2.70296,512
Oman,2016,2.74429,512
Oman,2017,2.65654,512
Oman,2018,2.66233,512
Oman,2019,2.89567,512
Oman,2020,2.51083,512
Oman,2021,2.37241,512
Oman,2022,2.42779,512
Namibia,2009,2.7,516
Namibia,2010,2.6,516
Namibia,2011,2.9,516
Namibia,2012,2.9,516
Namibia,2013,3,516
Namibia,2014,3,516
Namibia,2015,3.3,516
Namibia,2016,3,516
Namibia,2017,2.9,516
Namibia,2018,1.9,516
Namibia,2019,2,516
Namibia,2020,5.6,516
Namibia,2021,2,516
Nepal,2010,1.56846,524
Nepal,2011,1.64109,524
Nepal,2012,1.78415,524
Nepal,2013,1.75738,524
Nepal,2014,1.89415,524
Nepal,2015,1.77426,524
Nepal,2016,1.8247,524
Nepal,2017,1.94781,524
Nepal,2018,1.96039,524
Nepal,2019,1.2839,524
Nepal,2020,1.36355,524
Nepal,2021,1.6,524
Netherlands (Kingdom of the),2010,3.1,528
Netherlands (Kingdom of the),2011,3.1,528
Netherlands (Kingdom of the),2012,3.2,528
Netherlands (Kingdom of the),2013,3.4,528
Netherlands (Kingdom of the),2014,3.6,528
Netherlands (Kingdom of the),2015,3.9,528
Netherlands (Kingdom of the),2016,4.1,528
Netherlands (Kingdom of the),2017,4.2,528
Netherlands (Kingdom of the),2018,4.3,528
Netherlands (Kingdom of the),2019,4.3,528
Netherlands (Kingdom of the),2020,2.3,528
Netherlands (Kingdom of the),2021,2.4,528
Netherlands (Kingdom of the),2022,3.5,528
Netherlands (Kingdom of the),2023,3.8,528
Aruba,2013,19.9,533
Aruba,2014,21.1,533
Aruba,2015,21.6,533
Aruba,2016,21.2,533
Aruba,2017,21.2,533
New Zealand,2008,5.7,554
New Zealand,2009,5.2,554
New Zealand,2010,5.2,554
New Zealand,2011,5.1,554
New Zealand,2012,5.1,554
New Zealand,2013,5.1,554
New Zealand,2014,5,554
New Zealand,2015,5.6,554
New Zealand,2016,6.2,554
New Zealand,2017,5.8,554
New Zealand,2018,5.8,554
New Zealand,2019,5.6,554
New Zealand,2020,5.4,554
New Zealand,2021,3.4,554
New Zealand,2022,3.1,554
New Zealand,2023,3.7,554
Nigeria,2010,4.38,566
Nigeria,2011,4.38,566
Nigeria,2012,4.5,566
Nigeria,2013,5.01,566
Nigeria,2014,5.24,566
Nigeria,2015,5.56,566
Nigeria,2016,5.7,566
Nigeria,2017,5.46,566
Nigeria,2018,5.44,566
Nigeria,2019,5.58,566
Nigeria,2020,4.29,566
Norway,2008,3.3,578
Norway,2009,3.7,578
Norway,2010,3.6,578
Norway,2011,3.7,578
Norway,2012,3.7,578
Norway,2013,3.7,578
Norway,2014,3.7,578
Norway,2015,4,578
Norway,2016,4.3,578
Norway,2017,4.1,578
Norway,2018,3.8,578
Norway,2019,4,578
Norway,2020,3,578
Norway,2021,2.5,578
Micronesia (Federated States of),2008,1.9007,583
Micronesia (Federated States of),2009,1.67777,583
Micronesia (Federated States of),2010,1.70253,583
Micronesia (Federated States of),2011,1.62598,583
Micronesia (Federated States of),2012,1.6569,583
Micronesia (Federated States of),2013,1.66103,583
Micronesia (Federated States of),2014,1.6353,583
Micronesia (Federated States of),2015,1.69541,583
Micronesia (Federated States of),2016,1.71714,583
Micronesia (Federated States of),2017,1.78008,583
Micronesia (Federated States of),2018,1.78827,583
Marshall Islands,2008,2.6,584
Marshall Islands,2009,2.5,584
Marshall Islands,2010,2.3,584
Marshall Islands,2011,2.2,584
Marshall Islands,2012,2.1,584
Marshall Islands,2013,1.9,584
Marshall Islands,2014,2.1,584
Marshall Islands,2015,2.2,584
Marshall Islands,2016,2.3,584
Marshall Islands,2017,2.3,584
Marshall Islands,2018,2.3,584
Marshall Islands,2019,2.5,584
Marshall Islands,2020,2,584
Marshall Islands,2021,1.8,584
Palau,2008,17.47299,585
Palau,2009,17.89294,585
Palau,2010,18.6892,585
Palau,2011,21.52718,585
Palau,2012,23.51177,585
Palau,2013,24.82607,585
Palau,2014,25.70048,585
Palau,2015,26.39814,585
Palau,2016,24.65382,585
Palau,2017,21.92255,585
Palau,2018,19.97486,585
Palau,2019,18.1375,585
Palau,2020,9.75938,585
Panama,2008,8.8,591
Panama,2009,8.4,591
Panama,2010,8.9,591
Panama,2011,10.4,591
Panama,2012,11.3,591
Panama,2013,11.9,591
Panama,2014,11.5,591
Panama,2015,10.6,591
Panama,2016,10.8,591
Panama,2017,10.9,591
Panama,2018,10.6,591
Panama,2019,10.1,591
