Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SOUTH AFRICA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOUTH SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SPAIN,..,..,..,..,..,..,..,..,..,..,..,..,"12,709","13,042","13,754","14,254","15,944","14,916","13,434","13,952","17,625","18,277","20,274","22,287","22,816","6,236","8,538","18,253"
SRI LANKA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
STATE OF PALESTINE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SURINAME,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SWEDEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"22,121","19,939","19,061","6,081","7,615",..
SWITZERLAND,..,..,..,..,..,..,..,..,"17,548",..,..,..,..,"17,407","16,522","15,902","18,949","20,293","20,303","19,833","22,086","21,536","22,481","24,572","19,797","7,694","10,164","15,846"
SYRIAN ARAB REPUBLIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TAIWAN PROVINCE OF CHINA,"5,189","5,714","6,162","5,912","6,559","7,329","7,153","7,319","5,923","7,781","8,208","8,671","8,964","8,465","8,143","9,415","9,584","10,240","11,053","11,845","13,183","14,589","15,655","16,645","17,101","2,336",360,"1,483"
TAJIKISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"TANZANIA, UNITED REPUBLIC OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,371,..
THAILAND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TIMOR-LESTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TOGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TONGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TRINIDAD AND TOBAGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TUNISIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TÜRKIYE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TURKMENISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TURKS AND CAICOS ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TUVALU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UGANDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UKRAINE,..,..,..,..,..,..,..,..,..,..,..,..,"17,866","16,100","15,961","17,741","20,335","21,755","23,988","22,637","23,336","25,226","27,067","27,977","29,346","11,251","14,726","15,539"
UNITED ARAB EMIRATES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"17,890","18,728","18,866","18,967","18,906","6,458","7,454",..
UNITED KINGDOM,"41,345","42,050","45,957","50,872","53,881","56,837","58,281","59,377","61,424","64,194","66,494","69,536","69,450","69,011","63,513","64,647","67,493","66,858","68,959","72,204","77,619","81,757","87,242","90,571","93,086","23,827","19,142","70,950"
UNITED STATES OF AMERICA,"74,031","76,803","78,481","82,758","84,540","87,973","84,755","80,883","75,880","79,655","79,215","148,511","140,364","136,148","129,954","121,574","114,089","116,329","118,968","121,699","130,364","141,526","148,045","158,445","170,930","60,550",..,..
UNITED STATES VIRGIN ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
URUGUAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UZBEKISTAN,..,..,246,247,202,217,183,264,400,455,572,893,"1,248","1,150","1,317","1,610",..,..,"3,117","2,786","3,491","3,848","5,182","8,594","8,437",..,..,..
VANUATU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"VENEZUELA, BOLIVARIAN REPUBLIC OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
VIET NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
YEMEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ZAMBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ZIMBABWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
