city,name,review_count,rating,category,longitude,latitude
Hong Kong,Miu Fat Buddhist Monastery,432,4.1,Buddhist temple,113.984063,22.4196875
Istanbul,Yavuz Sultan Selim Bridge,4754,4.3,Bridge,29.1124375,41.2028125
Istanbul,Tours Flame,8,4.6,Tour agency,28.6674375,41.0114375
Istanbul,Takkeci brahim avu Camii,197,4.8,Mosque,28.9211875,41.0225625
Istanbul,Siyah Tulip,14,4.3,Tour agency,28.9889375,41.0618125
Istanbul,Jinkus and Co Armenian Heritage Site,1,5,Tourist attraction,28.9698125,41.0093125
Istanbul,Istanbul Tourist Pass,134,4.2,Sightseeing tour agency,28.9901875,41.0324375
Bangkok,Fit Forward,14,3.6,Fitness center,100.57625,13.77875
Bangkok,Eco Travel Thailand,,,Tour agency,,
Bangkok,The Grand Palace,40767,4.5,Castle,100.491563,13.7498125
Bangkok,The Giant Swing,1064,4.6,Tourist attraction,100.501313,13.7518125
Bangkok,Wat Suthat Thepwararam Ratchaworahawihan,4591,4.7,Buddhist temple,100.501062,13.7510625
Bangkok,Temple of the Emerald Buddha - Wat Phra Si Rattana Satsadaram Wat Phra Kaew,23077,4.6,Buddhist temple,,
Bangkok,Lumphini Park,28899,4.5,State park,100.541688,13.7314375
Bangkok,Bangkok Art & Culture Centre,14262,4.5,Art gallery,100.530188,13.7466875
Bangkok,Wat Traimit Golden Buddha,15770,4.5,Buddhist temple,100.513688,13.7379375
Bangkok,Safari World,30705,4.5,Zoo,100.703062,13.8654375
Bangkok,National Museum Bangkok,4384,4.6,Museum,,
Bangkok,Madame Tussauds BANGKOK,6664,4.5,Wax museum,100.531687,13.7464375
Bangkok,Museum of Contemporary Art MOCA,2749,4.7,Art museum,100.563063,13.8523125
Bangkok,King Rama I Monument,130,4.4,Monument,,
Bangkok,Chaloemla Gardens,417,4.4,State park,100.531687,13.7500625
Bangkok,SEA LIFE Bangkok Ocean World,13782,4.5,Aquarium,100.535063,13.7464375
Bangkok,Lhong 1919,6651,4.2,Tourist attraction,100.507563,13.7343125
Bangkok,Phra Sumen Fort,1494,4.4,Fortress,,
Bangkok,Asiatique The Riverfront,47270,4.3,Night market,100.503312,13.7044375
Bangkok,Assumption Cathedral,868,4.7,Catholic church,100.514937,13.7230625
Bangkok,Siam Amazing Park,10427,4.3,Amusement park,100.692313,13.8059375
Bangkok,King Power Mahanakhon,10385,4.6,Tourist attraction,100.528188,13.7235625
Bangkok,Jim Thompson House Museum,9973,4.4,Heritage museum,100.528188,13.7493125
Bangkok,Bangkokian Museum,739,4.5,Museum,100.518188,13.7281875
Bangkok,Pororo Aqua Park Bangkok,1388,4.3,Water park,100.634688,13.6688125
Bangkok,Pak Khlong Talat Flower Market,5326,4.3,Flower market,,
Bangkok,Wat Arun Ratchawararam Ratchawaramahawihan,29170,4.6,Buddhist temple,100.488563,13.7441875
Bangkok,Samut Prakan Ancient City,10254,4.5,Tourist attraction,100.623063,13.5400625
Bangkok,Local Museum Bangkok Thonburi,7,4.4,Museum,100.496313,13.7369375
Bangkok,Benchasiri Park,5008,4.4,City park,100.567938,13.7314375
Bangkok,Batcat Museum & Toys,208,4.2,Toy museum,100.613813,13.7496875
Bangkok,Taling Chan Floating Market,1650,4.2,Floating market,100.456563,13.7763125
Paris,Tours of Paris,25,4.7,Museum,2.3478125,48.8705625
Bangkok,Bangkok City Pillar Shrine,5824,4.7,City pillar shrine,100.494063,13.7525625
Bangkok,PARK @ SIAM,174,4.2,State park,100.532312,13.7436875
Bangkok,Bangkok Butterfly Garden and Insectarium,598,4.1,Museum,100.554938,13.8095625
Bangkok,Wat Lan Boon,2011,4.4,Buddhist temple,100.719437,13.7245625
Bangkok,Bangkok Dolls Shop and Museum,53,3.9,Museum,100.547063,13.7591875
Bangkok,Snake Farm Queen Saovabha Memorial Institute,1100,4.5,Education center,100.532813,13.7329375
Bangkok,Golden Mount Temple Wat Saket,1775,4.7,Buddhist temple,100.506563,13.7538125
Bangkok,Thonburi Palace The Old Palace,500,4.6,Historical place museum,100.489688,13.7428125
Bangkok,Bangkok World ,,,,100.692313,13.8053125
Paris,Igor Stravinsky Square,277,4.2,Place,2.3515625,48.8594375
Bangkok,Childrens Discovery Museum,2587,4.4,Children's museum,100.551313,13.8030625
Bangkok,Suan Luang Rama IX Park,12945,4.7,State park,100.658188,13.6880625
Bangkok,Saranrom Palace Park,2168,4.4,City park,,
Bangkok,Holy Rosary Church,644,4.5,Catholic church,100.513438,13.7319375
Bangkok,Wat Mangkon Kamalawat Wat Leng Noei Yi,10929,4.5,Buddhist temple,100.509313,13.7429375
Bangkok,Chinatown,57,4.5,Tourist attraction,,
Bangkok,Bangkok Hangover Tour,14,4.5,Tourist attraction,100.562313,13.7370625
Bangkok,Victory Monument,10698,4.3,Monument,,
Bangkok,Khaosan road,658,4.2,Tourist attraction,100.498562,13.7586875
Bangkok,Sri Maha Mariamman Temple,7764,4.6,Hindu temple,100.522938,13.7241875
Bangkok,Wat Phra Chetuphon Wat Pho,24772,4.6,Buddhist temple,100.493063,13.7465625
Bangkok,Sanam Luang,18843,4.5,State park,,
Bangkok,Benjakitti Park,5712,4.5,State park,100.557813,13.7299375
Bangkok,ChangChui,5941,4.1,Market,100.470688,13.7891875
Bangkok,Ananta Samakhom Throne Hall,743,4.5,Historical place,100.513312,13.7715625
Bangkok,Royal Barges National Museum,541,4.2,Museum,100.484563,13.7619375
Bangkok,CU Centenary Park,2186,4.6,State park,100.523813,13.7394375
Bangkok,Phra Pokklao Bridge,477,4.5,Bridge,,
Bangkok,Bangkok Metropolitan Museum,23,3.9,Local history museum,100.499063,13.7641875
Bangkok,Kwan-Riam Floating Market,5222,4.2,Floating market,100.710062,13.8006875
Bangkok,The Erawan Museum,7520,4.4,Museum,100.588938,13.6285625
Bangkok,Wat Sommanat Ratchaworawihan,1988,4.4,Buddhist temple,100.510562,13.7606875
Bangkok,Wat Benchamabophit Dusitwanaram,6004,4.6,Buddhist temple,100.514187,13.7665625
Bangkok,Former Thai Rama Theatre,,,Tourist attraction,100.493188,13.7240625
Bangkok,Chao Phraya Sky Park,329,4.4,State park,100.499063,13.7395625
Bangkok,Damnoen Saduak Floating Market,17329,3.8,Floating market,99.9586875,13.5201875
Bangkok,Erawan Shrine,3493,4.6,Pilgrimage place,100.540438,13.7443125
Bangkok,Sea Lion Show,52,4.4,Animal park,,
Bangkok,The Suan Pakkad Palace,78,4.6,Museum,100.537438,13.7568125
Bangkok,Chatuchak Park,4198,4.4,State park,100.555438,13.8074375
Bangkok,Wat Bang Na Nok,1850,4.4,Buddhist temple,,
Bangkok,Wat Mahathat Yuwaratrangsarit,1622,4.6,Buddhist temple,100.490938,13.7551875
Bangkok,centralwOrld,53941,4.5,Shopping mall,100.539188,13.7451875
Bangkok,The National Memorial,148,4.4,National museum,100.621063,13.9520625
Bangkok,Wat Makut Kasatriyaram Ratchaworawihan,2308,4.5,Buddhist temple,100.506688,13.7640625
Bangkok,Wat Phra Sri Mahathat Woramahawihan,6639,4.5,Buddhist temple,100.593438,13.8743125
Bangkok,Rommaninat Park,1520,4.3,Park,,
Bangkok,Wachirabenchathat Park Rot Fai Park,6999,4.6,State park,,
Bangkok,Yaowarat Chinatown Heritage Center,221,4.4,Local history museum,100.513438,13.7375625
Bangkok,Brass Band Pavilion,,,State park,,
Bangkok,Khlong Lat Mayom Floating Market,8593,4.3,Floating market,100.415438,13.7615625
Bangkok,The So Heng Tai Mansion,652,3.8,Heritage building,100.512063,13.7336875
Bangkok,Ton Son Mosque,300,4.6,Mosque,100.488563,13.7400625
Bangkok,Santa Cruz Church,484,4.5,Catholic church,100.49375,13.73875
Bangkok,Dream World,12312,4.4,Amusement park,100.674812,13.9876875
Bangkok,Bangkok Yai Park,113,4.3,State park,,
Bangkok,Kamthieng House Museum,138,4.1,Museum,100.561313,13.7393125
Bangkok,Pig Memorial,89,4.4,Monument,,
Bangkok,BANGKOK ATV ADVENTURES @SUKSAWAT RAMA2,39,4.8,Tourist attraction,100.497437,13.6634375
Bangkok,Phaya Thai Palace,762,4.6,Historical landmark,100.532938,13.7686875
Bangkok,CAMP SAFARI,13,5,Tourist attraction,100.700688,13.8699375
Bangkok,Siriraj Medical Museum,279,4.3,Science museum,100.485063,13.7588125
Bangkok,Nong Jok,,,Tourist attraction,100.780938,13.9100625
Bangkok,Wat Tridhosthep Worawihan,1391,4.4,Buddhist temple,100.502688,13.7625625
Bangkok,Airplane Graveyard,605,3.5,Tourist attraction,,
Bangkok,SAC Gallery,167,4.6,Art museum,100.570063,13.7396875
Bangkok,Chao Praya,,,Tourist attraction,100.563438,13.7324375
Bangkok,BANGKOK CITYCITY GALLERY,340,4.4,Art gallery,100.544688,13.7235625
Bangkok,Bangkok Children's Discovery Museum II Thung Khru,101,4.4,Children's amusement center,100.491563,13.6470625
Bangkok,Tempravary Closed,16,4.6,Tourist attraction,100.52875,13.72625
Bangkok,Srinagarindra Train Night Market,13326,4.4,Night market,100.651187,13.6939375
Bangkok,Wat Mahabut Mae Nak Phra Khanong,4891,4.6,Buddhist temple,100.606688,13.7148125
Bangkok,Wat Thepleela,2598,4.4,Buddhist temple,100.614313,13.7591875
Bangkok,Salil Journey Riverside,,,Tourist attraction,100.507437,13.7081875
Bangkok,Bang Pa-In Palace,4471,4.4,Tourist attraction,100.579063,14.2328125
Bangkok,Sanam Chandra Palace,1707,4.6,Tourist attraction,,
Bangkok,Wat Sutthi Wararam,1530,4.4,Buddhist temple,100.513062,13.7124375
Bangkok,Sanan Memorial Pavilion,,,Tourist attraction,,
Bangkok,MBK Center,25327,4.3,Shopping mall,100.530062,13.7448125
Bangkok,The Japan Foundation Bangkok,73,4.5,Cultural center,100.561563,13.7411875
Bangkok,Patpong Museum,177,4.8,Museum,100.532187,13.7288125
Bangkok,The Artist's House,1032,4.5,Art cafe,100.463312,13.7313125
Bangkok,Durga Mandir Bangkok,49,4.6,Hindu temple,100.500188,13.7331875
Bangkok,Thailand Creative & Design Center TCDC,394,4.6,Learning center,100.515562,13.7266875
Bangkok,Democracy Monument,4476,4.3,Monument,,
Bangkok,Elephants by ROA in bangkok,3,4.3,Tourist attraction,100.508938,13.7370625
Bangkok,Mural Art by Alex Face,3,4.3,Tourist attraction,100.514937,13.7250625
Bangkok,Sampheng Market,7414,4.3,Market,100.504313,13.7429375
Bangkok,Liverpool Mural,,,Tourist attraction,100.514437,13.7331875
Bangkok,Art In Paradise,1401,4.4,Art museum,100.569313,13.7665625
Bangkok,Siam Serpentarium,1228,4.2,Museum,100.823312,13.7104375
Bangkok,Wat Bowonniwetwiharn Ratchaworawiharn,2963,4.7,Buddhist temple,100.499813,13.7603125
Bangkok,Birding in Bangkok,5,4.2,Bird watching area,100.577813,13.7300625
Bangkok,fun time islands,,,Country park,100.561313,13.7375625
Bangkok,The Reclining Buddha,404,4.7,Buddhist temple,,
Bangkok,Wat Krathum Suea Pla,2311,4.6,Buddhist temple,100.688688,13.7229375
Bangkok,The Royal Bangkok Sports Club,1814,4.5,Sports club,100.535063,13.7383125
Bangkok,Big Bee Farm Bangkok Rom Klao,,,Tourist attraction,100.734563,13.7298125
Bangkok,Chaipattana Water Aerator Memorial,20,4.1,Memorial park,100.539063,13.7303125
Bangkok,Snoopy world at central world,,,Tourist attraction,100.538813,13.7468125
Bangkok,Chinese Clock Tower,7,4.6,Park,100.543938,13.7276875
Bangkok,Bird Watching Tower at Si Nakhon Khuean Khan Park,445,4.3,Bird watching area,,
London,Buckingham Palace,148525,4.5,Cultural landmark,-0.1419375,51.5013125
Bangkok,Bangkok ,12,5,Memorial park,,
Bangkok,Dolphin Show,196,4.7,Animal park,,
Bangkok,Tawanna,7896,4.2,Market,100.641188,13.7669375
Bangkok,New Lumpinee Boxing Stadium,381,4.2,Muay Thai boxing gym,100.608813,13.8670625
Bangkok,Wat Paknam Phasi Charoen,5910,4.6,Buddhist temple,100.470312,13.7218125
Bangkok,Ratchadamri Gate Lumphini Park,30,4.2,State park,100.538438,13.7331875
London,The London Dungeon,15474,4.3,Tourist attraction,-0.1188125,51.5025625
London,lastminutecom London Eye,143943,4.5,Tourist attraction,-0.1195625,51.5033125
London,SEA LIFE Centre London Aquarium,22528,4.3,Tourist attraction,-0.1195625,51.5015625
London,The View from The Shard,4033,4.6,Scenic spot,-0.0865625,51.5044375
London,The London Bridge Experience & London Tombs,1023,4.1,Tourist attraction,-0.0884375,51.5064375
London,Madame Tussauds London,59960,4.4,Tourist attraction,-0.1543125,51.5230625
London,Tower of London,83331,4.6,Castle,-0.0759375,51.5080625
London,Trafalgar Square,108310,4.6,Plaza,-0.1280625,51.5080625
London,ZSL London Zoo,24147,4.3,Zoo,-0.1534375,51.5353125
London,The Shard,31357,4.6,Landmark,-0.0865625,51.5045625
London,The British Museum,127026,4.7,Museum,-0.1269375,51.5194375
London,Tower Bridge,125373,4.7,Bridge,-0.0753125,51.5054375
London,Hyde Park,110893,4.7,Park,-0.1656875,51.5073125
London,London Wall,540,4.5,Tourist attraction,-0.0760625,51.5099375
London,The Regent's Park,39175,4.7,Park,-0.1569375,51.5313125
London,ArcelorMittal Orbit,2711,4.3,Tourist attraction,-0.0128125,51.5383125
London,Shrek's Adventure London,5485,4.1,Tourist attraction,-0.1193125,51.5019375
London,Kensington Palace,22931,4.5,Historical place,-0.1876875,51.5049375
London,Up at The O2,1765,4.7,Tourist attraction,0.00375,51.50125
London,London Transport Museum,8290,4.5,Museum,-0.1215625,51.5119375
London,St James's Park,50123,4.7,Park,-0.1348125,51.5024375
London,HMS Belfast,10416,4.6,Museum,-0.0814375,51.5065625
London,Tower of London - Lanthorn Tower,108,4.6,Tourist attraction,-0.0756875,51.5073125
London,The National Gallery,40352,4.7,Art museum,-0.1283125,51.5089375
London,Royal Observatory Greenwich,15308,4.5,Observatory,-5.63E-04,51.4768125
London,London Bridge,42432,4.6,Bridge,-0.0876875,51.5079375
London,London Eye River Cruise,996,4.6,Tourist attraction,-0.1183125,51.5029375
London,Kensington Gardens,24879,4.7,Park,-0.1791875,51.5069375
London,The Crown Jewels,763,4.6,Tourist attraction,-0.0763125,51.5085625
London,Museum of London,14999,4.6,Museum,-0.0968125,51.5175625
London,St Paul's Cathedral,33641,4.6,Cathedral,-0.0983125,51.5138125
London,Parliament Hill Viewpoint,3270,4.7,Tourist attraction,-0.1596875,51.5596875
London,The Graffiti Tunnel,1295,4.7,Tourist attraction,-0.1155625,51.5018125
London,Victoria and Albert Museum,46286,4.7,Museum,-0.1721875,51.4966875
London,Sky Garden,45837,4.7,Scenic spot,-0.0835625,51.5111875
London,Tate Britain,15714,4.7,Art gallery,-0.1278125,51.4910625
London,Admiralty Arch,915,4.5,Historical place,-0.1286875,51.5068125
London,Natural History Museum,17963,4.7,Museum,-0.1763125,51.4966875
London,City Cruises London Westminster Pier,1110,4.3,Tourist attraction,-0.1231875,51.5016875
London,Palace of Westminster,3845,4.6,Government office,-0.1248125,51.4994375
London,Millennium Bridge,13038,4.6,Bridge,-0.0985625,51.5095625
London,Piccadilly Circus Central London,158,4.8,Tourist attraction,-0.1344375,51.5099375
London,WWT London Wetland Centre,2745,4.6,Wildlife park,-0.2354375,51.4765625
London,Salt Tower,4,4.5,Tourist attraction,-0.0750625,51.5074375
London,Cutty Sark,17067,4.5,Maritime museum,-0.0095625,51.4828125
London,Kyoto Garden,8632,4.7,Garden,-0.2046875,51.5029375
London,Cambridge Circus London,162,4.6,Tourist attraction,-0.1291875,51.5131875
London,Greenwich Park,37575,4.7,Park,0.0014375,51.4769375
London,Museum of London Docklands,5004,4.6,Museum,-0.0238125,51.5075625
London,London's Roman Amphitheatre,273,4.6,Tourist attraction,-0.0914375,51.5155625
London,Garden Museum,767,4.2,Museum,-0.1201875,51.4949375
London,Science Museum,55587,4.5,Museum,-0.1766875,51.4971875
London,Richmond Park,23572,4.8,Park,-0.2745625,51.4411875
London,Potters Fields Park,2282,4.6,City park,-0.0783125,51.5041875
London,Royal Air Force Museum London,12864,4.7,Museum,-0.2380625,51.5978125
London,Somerset House,1323,4.5,Art center,-0.1171875,51.5110625
London,BT Tower,929,4.5,Tourist attraction,-0.1388125,51.5214375
